movie_id,title,release_date,metascore,userscore,production_budget,worldwide_box_office,rating_id
breathe-(uk)-(2017),Breathe,2017-10-13,,,,4868463.0,
butterfly-tree-the-(oz),The Butterfly Tree,2017-10-13,,,,9933.0,
blue-(australia)(2017),Blue,2017-10-13,,,,103208.0,
blue-(2015),Blue,2017-10-13,,,,175171.0,
blood-money-(2017),Blood Money,2017-10-13,,,,8270.0,
bir-nefes-yeter-(turkey),Bir Nefes Yeter,2017-10-13,,,,116587.0,
barbie-dolphin-magic-(canada),Barbie: Dolphin Magic,2017-10-13,,,,738874.0,
bitch-(2017),Bitch,2017-11-10,,,,689.0,
babysitter-the,The Babysitter,2017-10-13,,,,404923.0,
bad-lucky-goat,Bad Lucky Goat,2017-10-13,,,,,
bad-blood-(oz)-(2017),Bad Blood,2017-10-13,,,,7881.0,
b-and-b,B&B,2017-10-13,,,,,
atelier-l-(france),LÃ¢â‚¬â„¢atelier,2017-03-23,,,,979677.0,
american-satan,American Satan,2017-10-13,,,,,
alles-voor-elkaar-(netherlands),Alles Voor Elkaar,2017-10-13,,,,443007.0,
alguem-como-eu-(portugal),AlguÃƒÂ©m Como Eu,2017-10-13,,,,207358.0,
8-hlav-silenstvi-(cz),8 Hlav SÃƒÂ­lenstvÃƒÂ­,2017-10-13,,,,4962.0,
ga-lyeo-jin-si-gan-(s-korea),Vanishing Time: A Boy Who Returned,2016-11-03,,,,3655624.0,
exhibition-on-screen-the-curious-world-of-hieronymus-bosch,Exhibition On Screen: The Curious World Of Hieronymus Bosch,2016-11-03,,,,141832.0,
aqours-2nd-love-live-happy-party-train-tour-(japan),Aqours 2nd Love Live! Happy Party Train Tour,2017-10-13,,,,22864.0,
album-(turkey),AlbÃƒÂ¼m,2016-11-03,,,,12261.0,
eagle-huntress-the,The Eagle Huntress,2016-11-02,,,,5631241.0,
swing-state,Swing State,2016-11-01,,,,,
een-echte-vermeer-(netherlands),Een echte Vermeer,2016-11-03,,,,114869.0,
all-governments-lie-truth-deception-and-the-spirit-of-i-f-stone,"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",2016-11-01,,,,,
folle-histoire-de-max-et-leon-la-(france),La Folle Histoire De Max Et LÃƒÂ©on,2016-11-01,,,12500000.0,8912003.0,
yu-ying-shi-(china)-(2016),Yu Ying Shi,2016-10-28,,,,1155756.0,
crone-wood-(ireland)-(2019),Crone Wood,2016-10-30,,,,,
windmill-massacre-the-(netherlands),The Windmill Massacre,2016-10-28,,,,94055.0,
wild-goose-lodge-(ireland)-(2016),Wild Goose Lodge,2016-10-28,,,,47288.0,
yi-sap-gau-gaa-yat-(hong-kong)-(2016),Yi sap gau gaa yat,2016-10-31,,,,268027.0,
unspoken-the-(canada),The Unspoken,2016-10-28,,,,126668.0,
tenkrat-v-raji-(czech),TenkrÃƒÂ¡t v rÃƒÂ¡ji,2016-10-28,,,,108771.0,
xiaoming-and-his-friends-(china),Xiaoming And His Friends,2016-10-28,,,,1530000.0,
tamara-(2016-france),Tamara,2016-10-28,,,,5595545.0,
united-kingdom-a,A United Kingdom,2016-02-10,,,,11096020.0,
starfish-(uk),Starfish,2016-10-28,,,,38955.0,
smetto-quando-voglio-(italy),Smetto Quando Voglio,2016-10-28,,,,57083.0,
ride-(2018),Ride,2018-10-05,,,,,
shivaay-(india),Shivaay,2016-10-28,,,,323726.0,
sinbad-pirates-of-the-seven-storms-(russia),ÃÂ¡ÃËœÃï¿½Ãâ€Ãâ€˜Ãï¿½Ãâ€: ÃÅ¸ÃËœÃÂ Ãï¿½ÃÂ¢ÃÂ« ÃÂ¡Ãâ€¢ÃÅ“ÃËœ ÃÂ¨ÃÂ¢ÃÅ¾ÃÂ ÃÅ“ÃÅ¾Ãâ€™,2016-10-28,,,,320008.0,
shangri-la-suite,Shangri-La Suite,2016-10-28,,,,,
re-zero-kara-hajimeru-isekai-seikatsu-memory-snow-(japan)-(2018),Re:Zero kara Hajimeru Isekai Seikatsu: Memory Snow,2018-10-05,,,,1725339.0,
private-life-(2018),Private Life,2018-10-05,,,,,
querido-fotogramas-(spain)(2018),Querido Fotogramas,2018-10-05,,,,824.0,
praca-paris-(portugal)(2017),PraÃƒÂ§a Paris,2018-10-05,,,,2507.0,
potro-lo-mejor-del-amor-el-(argentina)-(2018),"El Potro, lo mejor del amor",2018-10-05,,,,1769897.0,
ola-de-crimenes-(spain)(2018),Ola de CrÃƒÂ­menes,2018-10-05,,,,3463410.0,
nota-(india)(2018),Nota,2018-10-05,,,,40392.0,
police-car-union-(china)-(2018),Police Car Union,2018-10-05,,,,779255.0,
pafekuto-warudo-(japan)-(2018),PÃƒÂ¢fekuto wÃƒÂ¢rudo,2018-10-05,,,,3320638.0,
nos-batailles-(belgium)-(2018),Nos batailles,2018-10-05,,,,1691704.0,
music-for-getting-married-(argentina)-(2018),Music for Getting Married,2018-10-05,,,,1361.0,
niemand-in-de-stad-(netherlands)-(2018),Niemand In De Stad,2018-10-05,,,,325365.0,
monster-strike-the-movie-sora-no-kanata-(japan)-(2018),Monster Strike The Movie: Sora no Kanata,2018-10-05,,,,3249907.0,
loveyatri-(india)(2018),Loveyatri,2018-10-05,,,,62475.0,
knuckleball-(canada)-(2018),Knuckleball,2018-10-05,,,,,
mudar-la-piel-(spain)(2018),Mudar La Piel,2018-10-05,,,,6939.0,
met-opera-aida-(2018),Met Opera: Aida,2018-10-05,,,,395885.0,
istanbul-muhafizlari-ab-i-hayat-cesmesi-(turkey)-(2018),Istanbul muhafizlari: Ab-i hayat ÃƒÂ§esmesi,2018-10-05,,,,495643.0,
living-in-the-futures-past-(documentary)-(2018),Living in the FutureÃ¢â‚¬â„¢s Past,2018-10-05,,,,,
78-52-hitchcocks-shower-scene,78/52: HitchcockÃ¢â‚¬â„¢s Shower Scene,2017-10-13,,,,46830.0,
6-below-miracle-on-the-mountain,6 Below: Miracle on the Mountain,2017-10-13,,,,641499.0,
kdyz-draka-boli-hlava-(cz)(2018),KdyÃ…Â¾ draka bolÃƒÂ­ hlava,2018-10-05,,,,589390.0,
omnipresent-(bulgaria),Omnipresent,2017-10-12,,,,237634.0,
salyut-7-(russia),Salyut-7,2017-10-12,,,,16755928.0,
loving-pablo-(spain),Loving Pablo,2017-10-05,,,,15450490.0,
haunted-road-2-(china),Haunted Road 2,2017-10-12,,,,1320000.0,
nove-lune-e-mezza-(italy),Nove Lune e Mezza,2017-10-12,,,,977207.0,
dove-non-ho-mai-abitato-(italy),Dove Non Ho Mai Abitato,2017-10-12,,,,288960.0,
aritmiya-(russia),Aritmiya,2017-10-12,,,,1433366.0,
snowman-the-(uk),The Snowman,2017-10-20,,,35000000.0,43164679.0,
12-deaths-of-christmas-(uk),12 Deaths of Christmas,2017-10-12,,,,,
patient-seventeen,Patient Seventeen,2017-10-10,,,,,
happy-death-day,Happy Death Day,2017-10-13,58.0,6.8,5000000.0,125010260.0,1.0
rv-resurrected-victims-(south-korea),RV: Resurrected Victims,2017-10-20,,,,2309252.0,
cadillac-tramps-life-on-the-edge-the-(canada),The Cadillac Tramps: Life on the Edge,2017-10-10,,,,,
zhizn-vperedi-(russia)-(2017),Zhizn Vperedi,2017-10-06,,,,1889155.0,
woody-woodpecker-(2017),Woody Woodpecker,2017-10-06,,,,15316635.0,
yo-soy-asi-tita-de-buenos-aires-(argentina)-(2017),"Yo soy asÃƒÂ­, Tita de Buenos Aires",2017-10-06,,,,315407.0,
ultimo-traje-el-(spain),El ÃƒÂºltimo Traje,2017-03-23,,,,571977.0,
unter-deutschen-betten-(germany),Unter deutschen Betten,2017-10-06,,,,607723.0,
resentimental-(argentina)-(2016),Resentimental,2016-10-28,,,,11328.0,
que-dios-nos-perdone-(spain),Que Dios nos perdone,2016-10-28,,,,3087264.0,
pretty-cure-kiseki-no-henshin-cure-mofurun-(japan)-(2016),Pretty Cure!: Kiseki no Henshin! Cure Mofurun!,2016-10-28,,,,4881491.0,
pr-hostar-(slovenia),Pr' Hostar,2016-10-28,,,,1135383.0,
tu-hai-mera-sunday-(india),Tu Hai Mera Sunday,2017-10-06,,,,44558.0,
opasnyye-kanikuly-(russia)-(2016),Opasnyye kanikuly,2016-10-28,,,,33208.0,
osen-yu-41-go-(russia)-(2016),Osen'yu 41-go,2016-10-28,,,,12516.0,
new-life,New Life,2016-10-28,,,,11895.0,
mysterious-face-2-(china)-(2016),Mysterious Face 2,2016-10-28,,,,308903.0,
mujeres-de-la-mina-(argentina)-(2014),Mujeres de la Mina,2016-10-28,,,,2380.0,
muhammad-the-messenger-of-god-(iran),Muhammad: The Messenger of God,2016-10-28,,,,1440044.0,
mu-hyeon-du-do-si-i-ya-gi-(s-korea),"Mu-hyeon, Du Do-si I-ya-gi",2016-10-28,,,,1296433.0,
madre-la-(spain),La Madre,2016-10-28,,,,2911.0,
miss-(argentina)-(2016),Miss,2016-10-28,,,,3874.0,
kodi-(india),Kodi,2016-10-28,,,,90544.0,
klad-(russia)-(2016),Klad,2016-10-28,,,,10850.0,
superpowerless-(2017),Superpowerless,2017-10-10,,,,,
kaashmora-(india),Kaashmora,2016-10-28,,,,419497.0,
onyx-(argentina)-(2016),Onyx,2016-10-28,,,,831.0,
hijo-de-dios-el-(argentina)-(2016),El Hijo de Dios,2016-10-28,,,,1267.0,
i-am-the-pretty-thing-that-lives-in-the-house-(canada),I am the Pretty Thing That Lives in the House,2016-10-28,,,,,
into-the-inferno-(uk),Into the Inferno,2016-10-28,,,,4861.0,
espana-dividida-la-guerra-civil-en-color-(spain),Espana dividida: La guerra civil en color,2016-10-28,,,,7714.0,
eksi-elmalar-(turkey),EkÃ…Å¸i Elmalar,2016-10-28,,,,4009596.0,
ingmar-bergman-vermachtnis-eines-jahrhundertgenies-(germany)-(2018),Ingmar Bergman: VermÃƒÂ¤chtnis eines Jahrhundertgenies,2018-11-02,,,,36708.0,
ethel-and-ernest-(uk),Ethel & Ernest,2016-10-28,,,10000000.0,200447.0,
infinite-garden-the-(bulgaria)-(2017),The Infinite Garden,2018-10-05,,,,12888.0,
hevi-reissu-(finland),Hevi reissu,2018-10-05,,,3800000.0,21976.0,
harmony-(oz)(2018),Harmony,2018-10-05,,,,11954.0,
house-that-jack-built-the-(denmark),The House That Jack Built,2018-12-14,,,,2654096.0,
gran-promesa-la-(mexico)-(2018),La Gran Promesa,2018-10-05,,,,151831.0,
hate-u-give-the,The Hate U Give,2018-10-05,,,23000000.0,35067665.0,
grace-and-goliath-(uk)(2018),Grace & Goliath,2018-10-05,,,,19169.0,
havenhurst,Havenhurst,2016-02-10,,,,284409.0,
great-buster-the-(documentary)-(2018),The Great Buster,2018-10-05,,,,151664.0,
freres-ennemis-(belgium)-(2018),FrÃƒÂ¨res ennemis,2018-10-05,,,,1281597.0,
female-human-animal-(uk)(2018),Female Human Animal,2018-10-05,,,,4114.0,
for-molly-(ireland)-(2018),For Molly,2018-10-05,,,,3985.0,
exes-baggage-(philippines)(2018),Exes Baggage,2018-10-05,,,,91605.0,
crooked-somebody-a-(2018),A Crooked Somebody,2018-10-05,,,,,
doctor-who-the-woman-who-fell-to-earth-(uk)-(2018),Doctor Who: The Woman Who Fell to Earth,2018-10-05,,,,40042.0,
black-is-beltza-(spain)(2018),Black is Beltza,2018-10-05,,,,99251.0,
bill-coors-the-will-to-live-(documentary)-(2018),Bill Coors: The Will to Live,2018-10-05,,,,,
chasing-the-blues-(2018),Chasing the Blues,2018-10-05,,,,,
babamin-ceketi-(turkey)-(2018),BabamÃ„Â±n Ceketi,2018-10-05,,,,97631.0,
bayou-caviar-(2018),Bayou Caviar,2018-10-05,,,,,
atrevidas-(argentina)-(2018),Atrevidas,2018-10-05,,,,775.0,
await-further-instructions-(uk),Await Further Instructions,2018-10-05,,,,3617.0,
toc-toc-(spain),Toc Toc,2017-10-06,,,,7163058.0,
trafficked,Trafficked,2017-10-06,,,,,
aydede-(turkey)-(2018),Aydede,2018-10-05,,,,35801.0,
tigre-(argentina),Tigre,2017-10-06,,,,2289.0,
stray-the-(2017),The Stray,2017-10-06,,,,,
take-my-nose-please,Take My NoseÃ¢â‚¬Â¦Please!,2017-10-06,,,,,
so-b-it,So B. It,2017-10-06,,,,,
solo-(india),Solo,2017-10-06,,,,79272.0,
sens-de-la-fete-le-(france),Le Sens de la FÃƒÂªte,2017-10-06,,,,31604961.0,
shopkins-world-vacation-(oz),Shopkins: World Vacation,2017-10-06,,,,131331.0,
tehran-taboo-(austria),Tehran Taboo,2017-02-14,,,,339464.0,
royal-opera-the-magic-flute-(2017),Royal Opera: The Magic Flute,2017-10-06,,,,44788.0,
rsc-live-coriolanus-(uk-2017),RSC Live: Coriolanus,2017-10-06,,,,158717.0,
royal-opera-house-la-boheme-(2017),Royal Opera: House La Boheme,2017-10-06,,,,893689.0,
portrait-of-my-mother-the-(china)-(2017),The Portrait of My Mother,2017-10-06,,,,16610.0,
paradise-(2017),Paradise,2017-10-06,,,,20754.0,
outrage-coda-(japan)-(2018),Outrage Coda,2017-10-06,,,,11983269.0,
palabras-pendientes-(argentina)-(2017),Palabras pendientes,2017-10-06,,,,443.0,
na-yi-chang-hu-xiao-er-guo-de-qing-chun-(china)-(2017),Na Yi Chang Hu Xiao Er Guo De Qing Chun,2017-10-06,,,,1302670.0,
comedians-guide-to-survival-the-(uk),The ComedianÃŠÂ¼s Guide to Survival,2016-10-28,,,,95.0,
narataju-(japan),NaratÃƒÂ¢ju,2017-10-06,,,,9109549.0,
nublu-(2017),Nublu,2017-10-06,,,,611.0,
mountain-between-us-the,The Mountain Between Us,2017-10-06,,,,62617547.0,
da-hui-shi-(china)-(2016),Da Hui Shi,2016-10-28,,,,35611.0,
capture-kill-release-(canada),Capture Kill Release,2016-10-28,,,,72.0,
by-sidney-lumet,By Sidney Lumet,2016-10-28,66.0,,,,0.0
anastasia-royal-opera-london-2016-17-(ballet)-(uk),"Anastasia - Royal Opera, London 2016/17",2016-10-28,,,,413670.0,
ae-dil-hai-mushkil-(india),Ae Dil Hai Mushkil,2016-10-28,,,,26775567.0,
walking-to-school-(china),Walking to School,2016-10-27,,,,59850.0,
burn-burn-burn-(uk)-(2016),Burn Burn Burn,2016-10-28,,,,19923.0,
miguel-mirra-un-artesano-(argentina)-(2016),Miguel Mirra: Un artesano,2016-10-27,,,,,
existir-sin-vos-una-noche-con-charly-garcia-(argentina)-(2016),Existir sin vos. Una noche con Charly GarcÃƒÂ­a,2016-10-27,,,,,
recovery-(2016),Recovery,2016-10-27,,,,,
portret-van-een-tuin-(netherlands),Portret van een tuin,2016-10-26,,,,,
hartenstrijd-(netherlands),Hartenstrijd,2016-10-27,,,,1509967.0,
spices-of-liberty,Spices of Liberty,2016-10-24,,,,,
seupeulrit-(s-korea),Seupeulrit,2016-10-24,,,,8491292.0,
leaves-of-the-tree,Leaves of the Tree,2016-10-24,,,,,
in-guerra-per-amore-(italy),In guerra per amore,2016-10-27,,,,4166265.0,
hon-sum-(s-korea),Hide and Never Seek,2016-10-24,,,,1924647.0,
mr-donkey-(china),Mr. Donkey,2016-10-28,,,,25404570.0,
animas-(spain)(2018),Ãƒï¿½nimas,2018-10-05,,,,4101.0,
doctor-strange-(2016),Doctor Strange,2016-11-04,,,165000000.0,676354481.0,
alad2-(france)(2018),AladÃ¢â‚¬â„¢2,2018-10-05,,,,20917377.0,
andhadhun-(india)(2018),Andhadhun,2018-10-05,,,,48707583.0,
three-generations,Three Generations,2016-05-05,,,,667753.0,
yi-xing-he-zu-de-wang-shi-(china)-(2016),Yi Xing He Zu De Wang Shi,2016-10-21,,,,65032.0,
affames-les-(canada)-(2018),Les affamÃƒÂ©s,2018-10-05,,,,41288.0,
afsar-(india)(2018),Afsar,2018-10-05,,,,107561.0,
amin-(france),Amin,2018-10-05,,,,397144.0,
16-levers-de-soleil-(france)-(2018),16 levers de soleil,2018-10-05,,,,104117.0,
waldheims-walzer-(austria)-(2018),Waldheims Walzer,2018-10-18,,,,,
96-(india)(2018),96,2018-10-05,,,,134812.0,
werk-ohne-autor-(germany)-(2018),Werk ohne Autor,2018-11-30,,,1400000.0,9048951.0,
stray-(new-zealand),Stray,2018-10-04,,,,99445.0,
nemico-che-ti-vuole-bene-un-(italy)-(2018),Un nemico che ti vuole bene,2018-10-04,,,,381668.0,
na-rayone-(russia)-(2018),Na rayone,2018-10-04,,,,1204830.0,
il-bene-mio-(italy)-(2018),Il bene mio,2018-10-04,,,,157032.0,
non-e-vero-ma-ci-credo-(italy)-(2018),Non ÃƒÂ¨ vero ma ci credo,2018-10-04,,,,98938.0,
kislota-(russia)-(2018),Kislota,2018-10-04,,,,329405.0,
over-the-limit-(poland),Over the Limit,2018-10-03,,,,,
movie-drive-head-tomica-hyper-rescue-the-(japan)-(2018),The Movie Drive Head Tomica Hyper Rescue,2018-10-03,,,,48119.0,
super-bear-(china)(2018),Super Bear,2018-10-04,,,,695621.0,
amsusalin-(south-korea)-(2018),Amsusalin,2018-10-03,,,,29433930.0,
chris-the-swiss-(switzerland),Chris the Swiss,2018-10-03,,,,,
moynihan-(documentary)-(2018),Moynihan,2018-10-03,,,,,
morir-(spain),Morir,2017-10-06,,,,40460.0,
met-opera-norma-(2017),Met Opera: Norma,2017-10-06,,,,1274090.0,
mensajero-el-(argentina),El mensajero,2017-10-06,,,,1594.0,
kervan-1915-(turkey),Kervan 1915,2017-10-06,,,,4426.0,
little-vampire-the-(uk),The Little Vampire,2017-10-06,,,,7512272.0,
kaip-susigrazinti-ja-per-7-dienas-(lithuania),Kaip SusigrÃ„â€¦Ã…Â¾inti jÃ„â€¦ per 7 Dienas,2017-10-06,,,,549605.0,
happy-end-(france),Happy End,2017-12-22,,,,2308357.0,
great-great-great-(canada)-(2017),Great Great Great,2017-10-06,,,,,
hans-zimmer-live-in-prague-(uk),Hans Zimmer: Live in Prague,2017-10-06,,,,338043.0,
human-flow-(germany),Human Flow,2017-10-13,,,,1782002.0,
dyrene-i-hakkebakkeskogen-(norway),Dyrene i Hakkebakkeskogen,2017-10-06,,,,334969.0,
dummie-de-mummie-en-de-tombe-van-achnetoet-(netherlands),Dummie de Mummie en de tombe van Achnetoet,2017-10-06,,,,1826317.0,
florida-project-the,The Florida Project,2017-10-06,,,2000000.0,11275645.0,
dort-kose-(turkey),DÃƒÂ¶rt KÃƒÂ¶Ã…Å¸e,2017-10-06,,,,252656.0,
generational-sins,Generational Sins,2017-10-06,,,,,
dog-park-(2017),Dog Park,2017-10-06,,,,,
dementia-13-(2017),Dementia 13,2017-10-06,,,,,
dina-(2017),Dina,2017-10-06,,,,96507.0,
desearas-al-hombre-de-tu-hermana-(argentina)-(2017),DesearÃƒÂ¡s al hombre de tu hermana,2017-10-06,,,,416488.0,
cold-moon,Cold Moon,2017-10-06,,,,,
dikkertje-dap-(netherlands),Dikkertje Dap,2017-10-06,,,,2153891.0,
while-aya-was-sleeping-(bulgaria),While Aya was Sleeping,2016-10-21,,,,10212.0,
white-island-(uk),White Island,2016-10-21,,,,23598.0,
vida-inmoral-de-la-pareja-ideal-la-(mexico),La Vida Inmoral de la Pareja Ideal,2016-10-21,,,,1407701.0,
we-are-x-(uk),We are X,2016-10-21,,,,3132486.0,
uncondemned-the,The Uncondemned,2016-10-21,,,,,
remake-the,The Remake,2016-10-21,,,,,
tyler-perrys-boo-a-madea-halloween,Tyler PerryÃ¢â‚¬â„¢s Boo! A Madea Halloween,2016-10-21,,,20000000.0,,
third-party-the-(philippines)-(2016),The Third Party,2016-10-21,,,,30107.0,
propera-pell-la-(spain),La Proxima piel,2016-10-21,,,,159020.0,
pickle-recipe-the,The Pickle Recipe,2016-10-21,,,,,
willy-1er-(france)-(2016),Willy 1er,2016-10-21,,,,77400.0,
this-beautiful-fantastic,This Beautiful Fantastic,2016-03-10,51.0,6.8,,297066.0,1.0
ornitologo-o-(portugal),O OrnitÃƒÂ³logo,2016-06-23,,,,87719.0,
mirada-del-colibri-la-(argentina)-(2016),La mirada del colibrÃƒÂ­,2016-10-21,,,,477.0,
ojala-vivas-tiempos-interesantes-(argentina)-(2016),Ojala Vivas Tiempos Interesantes,2016-10-21,,,,3220.0,
sonita-(germany)-(2016),Sonita,2016-10-21,,,,17168.0,
mean-dreams-(canada),Mean Dreams,2016-10-21,,,,15379.0,
moonlight-(2016),Moonlight,2016-10-21,,,1500000.0,65157139.0,
met-opera-don-giovanni-(2016),Met Opera Don Giovanni,2016-10-21,,,,395963.0,
mal-de-pierres-(france),Mal de Pierres,2016-07-28,,,,5162681.0,
maldito-seas-waterfall-(argentina)-(2016),Maldito Seas Waterfall!,2016-10-21,,,,19245.0,
luz-de-soledad-(spain),Luz de Soledad,2016-10-21,,,,61293.0,
leifeng-man-(china)-(2016),Leifeng Man,2016-10-21,,,,84321.0,
little-screen-october-(uk),Little Screen October,2016-10-21,,,,23800.0,
lakeeran-(india)-(2016),Lakeeran,2016-10-21,,,,1284.0,
venom-(2018),Venom,2018-10-05,,,116000000.0,856081053.0,
trump-prophecy-the-(2018),The Trump Prophecy,2018-10-02,,,,,
gu-jian-qi-tan-zhi-liu-yue-zhao-ming-(china)(2018),Gu Jian Qi Tan Zhi Liu Yue Zhao Ming,2018-10-01,,,,20079528.0,
evil-tale-an-(2018),An Evil Tale,2018-10-01,,,,,
adventure-of-afanti-the-(china)(2018),The Adventure of Afanti,2018-10-01,,,,11440000.0,
wu-shuang-(hong-kong)-(2018),Wu Shuang,2018-09-30,,,,186027770.0,
power-of-zero-the-(2018),The Power of Zero,2018-10-02,,,,,
above-and-beyond-nasa-s-journey-to-tomorrow-(documentary)-(2018),Above and Beyond: NASAÃ¢â‚¬â„¢s Journey to Tomorrow,2018-09-29,,,,,
jing-zhou-(china)-(2018),Jing Zhou,2018-05-03,,,,91462581.0,
halt-the-motion-picture,Halt: The Motion Picture,2018-09-29,,,,,
im-land-meiner-kinder-(documentary)-(germany),Im Land meiner kinder,2018-09-29,,,,,
vent-tourne-le-(france)-(2018),Le vent tourne,2018-09-28,,,,58927.0,
trico-tri-happy-halloween-(2018),Trico Tri: Happy Halloween,2018-09-28,,,,,
two-for-joy-(uk)(2018),Two for Joy,2018-09-28,,,,9150.0,
village-rockstars-(india)-(2018),Village Rockstars,2018-09-28,,,,,
touch-me-not-(romania)-(2018),Touch Me Not,2018-01-11,,,,40578.0,
todxs-somos-lopez-donde-empieza-la-vida-y-termina-la-muerte-(argentina)-(2018),Todxs somos LÃƒÂ³pez. Donde empieza la vida y termina la muerte,2018-09-28,,,,265.0,
summer-03-(2018),Summer '03,2018-09-28,,,,,
system-the-(2018),The System,2018-09-28,,,,,
sui-dhaaga-made-in-india-(india)-(2018),Sui Dhaaga: Made in India,2018-09-28,,,,1133565.0,
sarkari-hiriya-prathamika-shaale-(india)-(2018),Sarkari Hiriya Prathamika Shaale,2018-09-28,,,,6517.0,
three-peaks-(italy)-(2017),Three Peaks,2018-06-28,,,,19530.0,
sangre-blanca-(argentina)-(2018),Sangre blanca,2018-09-28,,,,32595.0,
chef-(india),Chef,2017-10-06,,,,943158.0,
soft-cell-one-final-time-(uk)(2018),Soft Cell: One Final Time,2018-09-28,,,,91966.0,
brawl-in-cell-block-99,Brawl in Cell Block 99,2017-10-06,79.0,7.2,4000000.0,79208.0,0.0
better-watch-out-(australia),Better Watch Out,2017-10-06,,,,188756.0,
chocante-(brazil)-(2017),Chocante,2017-10-06,,,,350473.0,
barracuda-(2017),Barracuda,2017-10-06,,,,,
call-for-fun-(india),Call For Fun,2017-10-06,,,,7466.0,
bending-the-arc,Bending the Arc,2017-10-06,80.0,,,48329.0,0.0
axel-2-adventures-of-the-spacekids-(china),Axel 2: Adventures of the Spacekids,2017-10-06,,,,7784033.0,
bailaras-(india),Bailaras,2017-10-06,,,,36293.0,
architects-of-denial-(documentary),Architects of Denial,2017-10-06,,,,,
ammore-e-malavita-(italy),Ammore e Malavita,2017-10-06,,,,1664524.0,
2307-winters-dream,2307: WinterÃ¢â‚¬â„¢s Dream,2017-10-06,,,,,
al-berto-(portugal),Al Berto,2017-10-06,,,,25109.0,
abundant-acreage-available,Abundant Acreage Available,2017-10-06,68.0,8.0,,,0.0
babam-(turkey),Babam,2017-10-06,,,,515309.0,
a-sholes,A*sholes,2017-10-06,,,,,
demons-(2017),Demons,2017-10-05,,,,,
my-little-pony-the-movie-(2017),My Little Pony: The Movie,2017-10-06,,,6500000.0,61294644.0,
zou-bi-hua-(china)-(2017),Zou Bi Hua,2017-10-04,,,,2820000.0,
yi-nian-tian-tang-(china)-(2015),Yi Nian Tian Tang,2015-12-31,,,,12020000.0,
jane-got-a-gun,Jane Got a Gun,2015-01-29,49.0,5.3,25000000.0,3771345.0,2.0
2016-the-end-(india),2016 The End,2017-10-06,,,,8811.0,
death-siam-masseur-(china),DEATH Siam masseur,2015-12-31,,,,290000.0,
chosun-masoolsa,Chosun Masoolsa,2015-12-30,,,,3829088.0,
solan-og-ludvig-herfra-til-flaklypa-(norway)-(2015),Solan og Ludvig: Herfra til FlÃƒÂ¥klypa,2015-12-25,,,,425059.0,
toz-bezi-(turkey)-(2015),Toz Bezi,2015-12-25,,,,21254.0,
snowden,Snowden,2015-09-16,58.0,7.0,50000000.0,35380918.0,2.0
kinmedaru-otoko-(japan)-(2016),Kinmedaru otoko,2016-10-21,,,,2064078.0,
sakli-(turkey)-(2015),Sakli,2015-12-25,,,,2831.0,
karaliu-pamaina-(lithuania),KaraliÃ…Â³ pamaina,2016-10-21,,,,2072.0,
king-cobra-(2016),King Cobra,2016-10-21,,,,,
jeremias-el-(mexico),El JeremÃƒÂ­as,2016-10-21,,,,2537380.0,
in-pursuit-of-silence-(uk),In Pursuit of Silence,2016-06-23,,,,41056.0,
it-had-to-be-you-(2016),It Had to be You,2016-10-21,,,,,
in-a-valley-of-violence,In a Valley of Violence,2016-10-21,64.0,6.6,,,2.0
im-not-ashamed,IÃ¢â‚¬â„¢m Not Ashamed,2016-10-21,,,1500000.0,,
ikimizin-yerine-(turkey),Ã„Â°kimizin Yerine,2016-10-21,,,,4434937.0,
illet-(turkey)-(2016),Ã„Â°llet,2016-10-21,,,,1747.0,
gang-shang-kai-hua-(china)-(2016),Gang Shang Kai Hua,2016-10-21,,,,27143.0,
hung-sau-wan-mei-seui-(hong-kong),Nessun Dorma,2016-10-21,,,,303338.0,
ecuacion-(argentina)-(2016),EcuaciÃƒÂ³n,2016-10-21,,,,7869.0,
defnenin-bir-mevsimi-(turkey),Defne'nin Bir Mevsimi,2016-10-21,,,,2570.0,
courier-x,Courier X,2016-10-21,,,,,
desi-munde-(india)-(2016),Desi Munde,2016-10-21,,,,2879.0,
brice-3-(france),Brice 3,2016-10-21,,,,14039310.0,
com-um-pouco-de-fe-(portugal),Com Um Pouco de FÃƒÂ©,2016-10-21,,,,2536.0,
branagh-theatre-live-the-entertainer-2016-(theatre)-(uk),Branagh Theatre Live: The Entertainer 2016,2016-10-21,,,,861451.0,
before-the-flood,Before the Flood,2016-10-21,63.0,8.1,,2825.0,1.0
5-a-m-cinco-ante-los-miedos-(argentina)-(2016),5 A.M. Cinco ante los miedos,2016-10-21,,,,20256.0,
boys-in-the-trees-(australia),Boys in the Trees,2016-10-21,,,,19240.0,
apnee-(france)-(2016),ApnÃƒÂ©e,2016-10-21,,,,91515.0,
burg-schreckenstein-(germany)-(2016),Burg Schreckenstein,2016-10-21,,,,780412.0,
reino-el-(spain),El Reino,2018-09-28,,,,4210693.0,
autumn-lights,Autumn Lights,2016-10-21,,,,,
redcon-1-(uk)(2018),Redcon-1,2018-05-03,,,,208619.0,
samuel-project-the-(2018),The Samuel Project,2018-09-28,,,,,
queercore-how-to-punk-a-revolution-(germany),Queercore: How to Punk a Revolution,2018-09-28,,,,,
peuple-et-son-roi-un-(france)-(2018),Un peuple et son roi,2018-09-28,,,,2474112.0,
